device_codename,brand,Retail Branding,Marketing Name,Device,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot,memory_phonebook,memory_call_records,sound_loudspeaker,sound_alert_types,sound_3.5mm_jack,comms_wlan,comms_bluetooth,comms_gps,comms_radio,comms_usb,features_sensors,features_messaging,features_browser,features_clock,features_alarm,features_games,features_java,features,misc_colors,network_3g_bands,network_speed,platform_os,platform_chipset,platform_cpu,platform_gpu,memory_internal,main_camera_single,main_camera_video,misc_price,main_camera_features,body,network_4g_bands,body_build,display_protection,memory,main_camera_dual,selfie_camera_dual,selfie_camera_features,selfie_camera_video,comms_nfc,battery_charging,misc_models,tests_performance,tests_camera,tests_loudspeaker,tests_audio_quality,tests_battery_life,tests_display,selfie_camera_single,comms_infrared_port,network_5g_bands,main_camera_quad,main_camera_triple,sound,misc_sar_eu,main_camera_five,features_languages,body_keyboard,misc_sar,battery,main_camera_dual_or_triple,battery_music_play,selfie_camera_triple,main_camera_v1,selfie_camera,camera,main_camera,network,battery_talk_time,battery_stand.by
HM2014817,Xiaomi,Xiaomi,Redmi 2,HM2014817,Xiaomi,Redmi 2,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, January","Available. Released 2015, January",134 x 67.2 x 9.4 mm (5.28 x 2.65 x 0.37 in),133 g (4.69 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Stereo FM radio,"microUSB 2.0, USB Host","Accelerometer, gyro, proximity, compass",,,,,,,,"Black, White, Yellow, Pink, Green",HSDPA 850 / 1900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Android 4.4.4 (KitKat); MIUI 6.0,Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"8 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, f/2.2, 28mm (wide), 1/3.2"", 1.4µm, AF",1080p@30fps,About 130 EUR,"LED flash, HDR",,"LTE band 3(1800), 7(2600), 38(2600), 39(1900), 40(2300), 41(2500)",Plastic body,Corning Gorilla Glass 2,,,,,720p,,Fast battery charging 10W: 30% in 30 min (Quick Charge 1),"2014818, 2014817, 2014811, 2014813, wt88047, 2014819",Basemark OS II: 509 / Basemark OS II 2.0: 511,Photo / Video,Voice 70dB / Noise 70dB / Ring 77dB,Noise -94.8dB / Crosstalk -95.8dB,Endurance rating 55h,"Contrast ratio: 974:1 (nominal), 1.763 (sunlight)",2 MP,,,,,Active noise cancellation with dedicated mic,,,,,,Removable Li-Po 2200 mAh battery,,,,,,,,TD-SCDMA,,
A1601,OPPO,Oppo,F1s,A1601,Oppo,F1s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, August","Available. Released 2016, August",154.5 x 76 x 7.4 mm (6.08 x 2.99 x 0.29 in),160 g (5.64 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, proximity, compass",,,,,,,,"Gold, Rose Gold, Gray",HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps or LTE-A Cat4 150/50 Mbps","Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow); ColorOS 3",Mediatek MT6755 (28 nm) or MTK7650 (28 nm),Octa-core 1.5 GHz Cortex-A53,Mali-T860MP2,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM","13 MP, f/2.2, 1/3"", PDAF",1080p@30fps,About 250 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - Global","Front glass, aluminum body",Corning Gorilla Glass 4,,,,,1080p@30fps,,,A1601,,Photo / Video,,,,,"16 MP, f/2.0, 1/3.1""",,,,,Active noise cancellation with dedicated mic,1.60 W/kg (head)     1.05 W/kg (body)    ,,,,0.31 W/kg (head)     0.36 W/kg (body)    ,Non-removable Li-Po 3075 mAh battery,,,,,,,,"LTE band 1(2100), 3(1800), 5(850), 40(2300) - India",,
1609,vivo,Vivo,V5 Lite (vivo 1609),1609,Vivo,V5 Lite (vivo 1609),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, January","Available. Released 2017, February",153.8 x 75.5 x 7.6 mm (6.06 x 2.97 x 0.30 in),155 g (5.47 oz),"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,,,,,,,"Crown Gold, Rose Gold",HSDPA 850 / 900 / 2100,"HSPA, LTE",Android 6 (Marshmallow); Funtouch 3,,Octa-core,,"32 GB, 3 GB RAM","13 MP, AF, f/2.2",1080p@30fps,About 160 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 5(850)",,Corning Gorilla Glass 3,,,,,1080p@30fps,,,1609,,,,,,,"16 MP, f/2.0",,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Ion 3000 mAh battery,,,,,,,,,,
a5xelte,samsung,Samsung,Galaxy A5 (2016),a5xelte,Samsung,Galaxy A5 (2016),GSM / UMTS / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, December","Available. Released 2015, December",144.8 x 71 x 7.3 mm (5.70 x 2.80 x 0.29 in),155 g (5.47 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, WiFi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, proximity, compass",,,,,,,ANT+,"Black, White, Gold, Pink",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7580 OctaQualcomm MSM8939 Snapdragon 615 (28 nm) - China only,Octa-core 1.6 GHz Cortex-A53Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - China only,Mali-T720MP2Adreno 405 - China only,"16 GB, 2 GB RAM","13 MP, f/1.9, 28mm (wide), OIS, AF",1080p@30fps,About 250 EUR,"LED flash, panorama, HDR",Samsung Pay,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","Front/back glass (Gorilla Glass 4), aluminum frame",Corning Gorilla Glass 4,,,,,1080p@30fps,Yes,Fast battery charging 18W,"SM-A5100, SM-A510F, SM-A510M, SM-A510Y, SM-A510FD",Basemark OS II 2.0: 833 / Basemark X: 4947,Photo / Video,Voice 65dB / Noise 66dB / Ring 66dB,Noise -93.4dB / Crosstalk -53.0dB,Endurance rating 91h,"Contrast ratio: Infinite (nominal),  3.789 (sunlight)3.789","5 MP, f/1.9, 24mm (wide)",,,,,Active noise cancellation with dedicated mic,0.29 W/kg (head)     0.47 W/kg (body)    ,,,,0.29 W/kg (head)     0.47 W/kg (body)    ,Non-removable Li-Ion 2900 mAh battery,,Up to 75 h,,,,,,UMTS 2100,Up to 16 h (3G),
mlv5,lge,LG,K10 (2017),mlv5,LG,K10 (2017),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, December","Available. Released 2017, February",148.7 x 75.3 x 7.9 mm (5.85 x 2.96 x 0.31 in),144 g (5.08 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.3 inches, 77.4 cm (~69.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)",,"microSD, up to 64 GB",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2(Europe)/4.1(India), A2DP, LE","Yes, with A-GPS, GLONASS","FM radio, RDS, recording","microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,,,,,,"Black, Gold, Titan",HSDPA 850 / 900 / 1900 / 2100 - Europe,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"16 GB, 2 GB RAM","13 MP, f/2.2, 1/3"", 1.12µm, AF",1080p@30fps,About 210 EUR,"LED flash, HDR",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - Europe",Plastic body,,,,,,1080p@30fps,Yes,,"M250, X400",,,,,,,"5 MP, f/2.4, 1/5"", 1.12µm",,,,,,,,,,,Removable Li-Ion 2800 mAh battery,,,,,,,,"LTE band 3(1800), 5(850), 40(2300) - India",,
mint,samsung,Samsung,Galaxy Star S5280,mint,Samsung,Galaxy Star S5280,GSM,GSM 850 / 900 / 1800 / 1900 - S5280,Yes,Yes,"2013, April","Available. Released 2013, May",105 x 58 x 11.9 mm (4.13 x 2.28 x 0.47 in),100.5 g (3.53 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 65K colors","3.0 inches, 27.9 cm (~45.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~133 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",No,"Stereo FM radio, RDS, recording",microUSB 2.0,Accelerometer,,,,,,,,"Black, White, Blue",,No,Android 4.1.2 (Jelly Bean),,1.0 GHz Cortex-A5,Mali-300,"4 GB, 512 MB RAM",2 MP,320p@15fps,About 70 EUR,,,,,,,,,,,,,"GT-S5282, GT-S5280",,,,,,,,,,,,,0.77 W/kg (head)     0.62 W/kg (body)    ,,,,,Removable Li-Ion 1200 mAh battery,,,,,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - S5282,Up to 14 h,Up to 320 h
j7elte,samsung,Samsung,Galaxy J7,j7elte,Samsung,Galaxy J7,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, June","Available. Released 2015, June",152.2 x 78.7 x 7.5 mm (5.99 x 3.10 x 0.30 in),171 g (6.03 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~69.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS","FM radio, RDS, recording",microUSB 2.0,"Accelerometer, proximity",,,,,,,ANT+,"White, Black, Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA 21.1/5.76 MbpsHSPA, LTE Cat4 150/50 Mbps","Android 5.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8939 Snapdragon 615 (28 nm)Exynos 7580 Octa,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)Octa-core 1.5 GHz Cortex-A53,Adreno 405Mali-T720MP2,"16 GB, 1.5 GB RAM","13 MP, f/1.9, 28mm (wide), AF",1080p@30fps,About 200 EUR,"LED flash, panorama",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)",Plastic body,,,,,LED flash,,Yes (Snapdragon model only),,"SM-J700F, SM-J700H, SM-J700M, SM-J700T",Basemark OS II 2.0: 709 / Basemark X: 3922,Photo / Video,Voice 63dB / Noise 62dB / Ring 66dB,Noise -96.1dB / Crosstalk -73.2dB,Endurance rating 91h,"Contrast ratio: Infinite (nominal),  3.879 (sunlight)","5 MP, f/2.2, 23mm (wide)",,,,,,0.50 W/kg (head)     0.37 W/kg (body)    ,,,,1.25 W/kg (head)     1.36 W/kg (body)    ,Removable Li-Ion 3000 mAh battery,,Up to 76 h,,,,,,,Up to 18 h (3G),
h1,lge,LG,G5,h1,LG,G5,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, February","Available. Released 2016, April",149.4 x 73.9 x 7.7 mm (5.88 x 2.91 x 0.30 in),159 g (5.61 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.3 inches, 77.4 cm (~70.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~554 ppi density)",Always-on display,"microSD, up to 512 GB (uses shared SIM slot) - dual SIM model only",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.2, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS",FM radio,"3.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer, color spectrum",,,,,,,,"Silver, Titan, Gold, Pink",HSDPA 850 / 900 / 1900 / 2100 - H850,"HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps or LTE-A Cat9 (3CA) 450/50 Mbps, EV-DO Rev.A 3.1 Mbps","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo); LG UX 5 UI",Qualcomm MSM8996 Snapdragon 820 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,"32 GB, 4 GB RAM",,"2160p@30fps, 1080p@30/60fps, HDR, stereo sound rec.",About 300 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 38(2600), 40(2300) - H850",Aluminum body,Corning Gorilla Glass 4,,"16 MP, f/1.8, 26mm (wide), 1/2.6"", laser AF, 3-axis OIS  8 MP, f/2.4, 9mm, 1/3.6"", no AF",,,1080p@30fps,Yes,Fast battery charging 18W (Quick Charge 3.0),"H860, H850, F700L, VS987, H830, H831, H820, H840, LGLS992, LGUS992",Basemark OS II: 2425 / Basemark OS II 2.0: 2314Basemark X: 27577,Photo / Video,Voice 68dB / Noise 70dB / Ring 73dB,Noise -92.6dB / Crosstalk -93.3dB,Endurance rating 60h,"Contrast ratio: 1855:1 (nominal), 2.905 (sunlight)","8 MP, f/2.0, 1/4"", 1.12µm",Yes,,,,24-bit/192kHz audio  Active noise cancellation with dedicated mic,0.52 W/kg (head)     1.24 W/kg (body)    ,,,,,Removable Li-Ion 2800 mAh battery,,,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - H860NLTE 2,3,4,5,7,13 - VS987LTE 2,4,5,12,13,17,25 - US992",Up to 20 h (3G),Up to 400 h (3G)
A37f,OPPO,Oppo,A37,A37f,Oppo,A37,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, June","Available. Released 2016, June",143.1 x 71 x 7.7 mm (5.63 x 2.80 x 0.30 in),136 g (4.80 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"Gold, Rose Gold",HSDPA 850 / 900 / 2100,"HSPA, LTE",Android 5.1 (Lollipop); ColorOS 3,Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"16 GB, 2 GB RAM","8 MP, f/2.0, 1/3.2"", 1.4µm, AF",1080p@30fps,About 220 EUR,"LED flash, panorama",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 41(2500)","Front glass, aluminum body",Corning Gorilla Glass 4,,,,,,,,"A37f, A37fw",,,,,,,"5 MP, f/2.4, 1/4""",,,,,,,,,,,Non-removable Li-Ion 2630 mAh battery,,,,,,,,,,
CPH1605,OPPO,Oppo,A39,CPH1605,Oppo,A39,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, March","Available. Released 2017, March",149.1 x 72.9 x 7.7 mm (5.87 x 2.87 x 0.30 in),147 g (5.19 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~68.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,,,,,,,"Gold, Rose Gold",HSDPA 850 / 900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 5.1 (Lollipop); ColorOS 3,Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,"32 GB, 3 GB RAM","13 MP, f/2.2, 1/3"", AF",1080p@30fps,About 150 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 38(2600), 40(2300), 41(2500)","Aluminum body, plastic ends",Corning Gorilla Glass 4,,,,,,,,CPH1605,,,,,,,"5 MP, f/2.4, 1/4"", 1.4µm",,,,,,,,,,,Non-removable Li-Ion 2900 mAh battery,,,,,,,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)",,
