device_codename,brand,Retail Branding,Marketing Name,Device
HM2014817,Xiaomi,Xiaomi,Redmi 2,HM2014817
A1601,OPPO,Oppo,F1s,A1601
1609,vivo,Vivo,V5 Lite (vivo 1609),1609
a5xelte,samsung,Samsung,Galaxy A5 (2016),a5xelte
mlv5,lge,LGE,K10 (2017),mlv5
mint,samsung,Samsung,Galaxy Star S5280,mint
j7elte,samsung,Samsung,Galaxy J7,j7elte
h1,lge,LGE,G5,h1
A37f,OPPO,Oppo,A37,A37f
CPH1605,OPPO,Oppo,A39,CPH1605
land,Xiaomi,Xiaomi,Redmi 3s,land
on7xelte,samsung,Samsung,Galaxy J7 Prime,on7xelte
golden,samsung,Samsung,I8200 Galaxy S III mini VE,golden
j5lte,samsung,Samsung,Galaxy J5,j5lte
grandneove3g,samsung,Samsung,Galaxy Grand Neo,grandneove3g
mido,xiaomi,Xiaomi,Redmi Note 4,mido
1606,vivo,Vivo,Y53,1606
ido,Xiaomi,Xiaomi,Redmi 3,ido
on5xelte,samsung,Samsung,Galaxy J5 Prime,on5xelte
nikel,Xiaomi,Xiaomi,Redmi Note 4,nikel
fortunave3g,samsung,Samsung,Galaxy Tab 3 Lite 7.0,fortunave3g
rolex,Xiaomi,Xiaomi,Redmi 4A,rolex
j3xlte,samsung,Samsung,Galaxy J3 (2016),j3xlte
Z008_1,asus,Asus,Zenfone 2 ZE550ML,Z008_1
ASUS_Z00RD_7,asus,Asus,Zenfone 2 Laser ZE500KG,ASUS_Z00RD_7
kenzo,Xiaomi,Xiaomi,Redmi Note 3,kenzo
R1x,OPPO,Oppo,R1x,R1x
A6020a40,Lenovo,Lenovo,K5,A6020a40
wt88047,Xiaomi,Xiaomi,Redmi 2,wt88047
A1603,OPPO,Realme,C1,A1603
R50A,R50A,Elevate,R50A,R50A
shine_plus,TCL,alcatel,Pop 4S,shine_plus
A16C3H,Smartfren,Smartfren,A16C3H,A16C3H
ferrari,Xiaomi,Xiaomi,Mi 4i,ferrari
j5y17ltedx,samsung,Samsung,Galaxy J5 (2017),j5y17ltedx
XT1663,motorola,Motorola,Moto M,XT1663
CPH1609,OPPO,Oppo,F3,CPH1609
R5,OPPO,Oppo,R5,R5
capricorn,Xiaomi,Xiaomi,Mi 5s,capricorn
hennessy,Xiaomi,Xiaomi,Redmi Note 3,hennessy
A7010a48,Lenovo,Lenovo,Vibe X3 c78,A7010a48
A6020a46,Lenovo,Lenovo,Vibe K5 Plus,A6020a46
a5y17lte,samsung,Samsung,Galaxy A5 (2017),a5y17lte
ASUS_T00F1,asus,Asus,Zenfone 5 A500CG (2014),ASUS_T00F1
ASUS_Z00U_1,asus,Asus,Zenfone Selfie ZD551KL,ASUS_Z00U_1
kate,Xiaomi,Xiaomi,Redmi Note 3,kate
sagit,Xiaomi,Xiaomi,Mi 6,sagit
tissot_sprout,xiaomi,Xiaomi,Mi A1 (Mi 5X),
markw,Xiaomi,Xiaomi,Redmi 4 Prime,markw
CPH1701,OPPO,Oppo,A57,CPH1701
D6653,Sony,Sony,Xperia Z3,D6653
grandprimeve3g,samsung,Samsung,Galaxy Grand Prime,grandprimeve3g
Z00A_1,asus,Asus,Zenfone 2 ZE551ML,Z00A_1
A51,OPPO,Oppo,Neo 5 (2015),A51
A7000plus,Lenovo,Lenovo,A7000 Plus,A7000plus
A3_mini,LAVA,,,
ASUS_Z00E_4,asus,Asus,Zenfone 2 Laser ZE500KL,ASUS_Z00E_4
vivalto3gvn,samsung,Samsung,Galaxy S Duos 3,vivalto3gvn
1601,vivo,Vivo,V5,1601
j3xpro6mltechn,samsung,Samsung,Galaxy J3 Pro,j3xpro6mltechn
hero2lte,samsung,Samsung,Galaxy S7 edge,hero2lte
santoni,Xiaomi,Xiaomi,Redmi 4 (4X),santoni
Y35,vivo,Vivo,Y35,Y35
"iPhone6,1",Apple,Apple,iPhone 5s,"iPhone6,1"
ASUS_X00DD,asus,Asus,Zenfone 3 Max ZC553KL,ASUS_X00DD
k3g,samsung,Samsung,Galaxy S5,k3g
B16C2H,Smartfren,Smartfren,B16C2H,B16C2H
grandpplte,samsung,Samsung,Galaxy J2 Prime,grandpplte
A33,OPPO,Oppo,A33,A33
tiffany,xiaomi,Xiaomi,Mi A1 (Mi 5X),tiffany
zerolte,samsung,Samsung,Galaxy S6 edge,zerolte
1718,vivo,Vivo,V7,1718
hydrogen,Xiaomi,Xiaomi,Mi Max,hydrogen
K53a48,Lenovo,Lenovo,K6 Note,K53a48
ZTE-V9820,ZTE,ZTE,V9820,ZTE-V9820
hermes,Xiaomi,Xiaomi,Redmi Note 2,hermes
B26D2H,Smartfren,Smartfren,Andromax L B26D2H,B26D2H
j2lte,samsung,Samsung,Galaxy J2,j2lte
SO-02F,docomo,Sony,Xperia Z1 Compact,SO-02F
A6010,Lenovo,Lenovo,A6010,A6010
ugglite,xiaomi,Xiaomi,Redmi Y1 (Note 5A),ugglite
A65A,EVERCOSS,Evercoss,A65A,A65A
oxygen,Xiaomi,Xiaomi,Mi Max 2,oxygen
lcsh92_wet_jb9,Xiaomi,Xiaomi,Redmi Note 4G,lcsh92_wet_jb9
ASUS_X00AD_2,asus,Asus,Zenfone Go ZB500KL,ASUS_X00AD_2
Che1,Honor,Honor,4X,Che1
ms013g,samsung,Samsung,Galaxy Grand 2,ms013g
P1a42,Lenovo,Lenovo,Vibe P1,P1a42
Infinix-X521,Infinix,Infinix,Hot S,Infinix-X521
prada,Xiaomi,Xiaomi,Redmi 4 (China),prada
X555,Infinix,Infinix,Zero 4,X555
vasta3g,samsung,Samsung,Galaxy Mega 2,vasta3g
ASUS_X00LD_1,asus,Asus,Zenfone 4 Selfie ZD553KL,ASUS_X00LD_1
a33g,samsung,Samsung,Galaxy A3,a33g
sanders_n,motorola,Motorola,Moto G5S Plus,sanders_n
ASUS_Z017D_1,asus,Asus,Zenfone 3 ZE520KL,ASUS_Z017D_1
j7y17lte,samsung,Samsung,Galaxy J7 Pro,j7y17lte
ASUS_Z00VD,asus,Asus,Zenfone Go ZC500TG,ASUS_Z00VD
CPH1723,OPPO,Oppo,F5,CPH1723
Z00A,asus,Asus,Zenfone 2 ZE551ML,Z00A
A6020l36,Lenovo,Lenovo,Vibe K5,A6020l36
hwALE-H,Huawei,Huawei,P8 Lite (2017),hwALE-H
gemini,Xiaomi,Xiaomi,Mi 5,gemini
C2105,Sony,Sony,Xperia L,C2105
libra,Xiaomi,Xiaomi,Mi 4c,libra
R2001,OPPO,OPPO,R2001 Yoyo,R2001
ASUS_X008,asus,Asus,Zenfone 3 Max ZC520TL,ASUS_X008
herolte,samsung,Samsung,Galaxy S7,herolte
zeroflte,samsung,Samsung,Galaxy S6,zeroflte
a3xelte,samsung,Samsung,Galaxy A3 (2016),a3xelte
D2533,Sony,Sony,Xperia C3,D2533
bbc100,blackberry,BlackBerry,Aurora,bbc100
j7xelte,samsung,Samsung,Galaxy J7 (2016),j7xelte
ASUS_X007D,asus,Asus,Zenfone Go ZB552KL,ASUS_X007D
1719,vivo,Vivo,Y65,1719
E5563,Sony,Sony,Xperia C5 Ultra Dual,E5563
HWLUA-U6582,HUAWEI,Huawei,Y3II,HWLUA-U6582
hammerhead,google,LGE,Nexus 5,hammerhead
A33w,OPPO,Oppo,Neo 7,A33w
tre3g,samsung,Samsung,Galaxy Note 4,tre3g
INFINIX-X552,Infinix,Infinix,Zero 3,INFINIX-X552
A859_ROW,Lenovo,Lenovo,A859,A859_ROW
D5503,Sony,Sony,Xperia Z1 Compact,D5503
ASUS_T00F,asus,Asus,Zenfone 5 A500CG (2014),ASUS_T00F
j3ltetw,samsung,Samsung,Galaxy J3 (2016),j3ltetw
ASUS_T00J,asus,Asus,Zenfone 5 A500CG (2014),ASUS_T00J
"iPhone5,4",Apple,Apple,iPhone 5c,"iPhone5,4"
ASUS_Z007,asus,Asus,Zenfone C ZC451CG,ASUS_Z007
1603,vivo,Vivo,Y55L (vivo 1603),1603
POLYTRON_4G501,POLYTRON,,,
e53g,samsung,Samsung,Galaxy E5,e53g
j5xnlte,samsung,Samsung,Galaxy J5 (2016),j5xnlte
ASUS_Z010,asus,Asus,Zenfone Max ZC550KL,ASUS_Z010
X9009,OPPO,Oppo,F1 Plus,X9009
ido_rifle007,Xiaomi,Xiaomi,Redmi 3,
P70-A,Lenovo,Lenovo,P70,P70-A
C6603,Sony,Sony,Xperia Z,C6603
Kraft-A6000,Lenovo,Lenovo,A6000,Kraft-A6000
xiaomi,Xiaomi,,,
dior,Xiaomi,Xiaomi,Redmi Note 4G,dior
