device_codename,brand,Retail Branding,Marketing Name,Device
HM2014817,Xiaomi,Xiaomi,HM 2LTE-SA,HM2014817
A1601,OPPO,Oppo,A1601,A1601
A1601,OPPO,Oppo,A1601fw,A1601
1609,vivo,,,
a5xelte,samsung,Samsung,Galaxy A5(2016),a5xelte
mlv5,lge,,,
mint,samsung,Samsung,Galaxy Star,mint
j7elte,samsung,Samsung,Galaxy J7,j7elte
h1,lge,LGE,LG G5,h1
A37f,OPPO,Oppo,A37f,A37f
A37f,OPPO,Oppo,A37fw,A37f
CPH1605,OPPO,Oppo,CPH1605,CPH1605
CPH1605,OPPO,Oppo,CPH1605fw,CPH1605
land,Xiaomi,Xiaomi,Redmi 3S,land
on7xelte,samsung,Samsung,Galaxy J7 Prime,on7xelte
on7xelte,samsung,Samsung,Galaxy On Nxt,on7xelte
golden,samsung,Samsung,Galaxy S3 Mini,golden
j5lte,samsung,Samsung,Galaxy J5,j5lte
grandneove3g,samsung,Samsung,Galaxy Grand Neo Plus,grandneove3g
mido,xiaomi,,,
1606,vivo,,,
ido,Xiaomi,Xiaomi,Redmi 3,ido
on5xelte,samsung,Samsung,Galaxy J5 Prime,on5xelte
nikel,Xiaomi,Xiaomi,Redmi Note 4,nikel
fortunave3g,samsung,Samsung,Galaxy Tab3 Lite 7.0,fortunave3g
rolex,Xiaomi,Acer,GT-810,rolex
rolex,Xiaomi,Xiaomi,Redmi 4A,rolex
rolex,Xiaomi,ZTE,AXON WATCH,rolex
j3xlte,samsung,Samsung,Galaxy J3(2016),j3xlte
Z008_1,asus,Asus,ZenFone 2 (ZE550ML),Z008_1
ASUS_Z00RD_7,asus,Asus,ZenFone 2 Laser (ZE500KG),ASUS_Z00RD_7
kenzo,Xiaomi,Xiaomi,Redmi Note 3,kenzo
R1x,OPPO,Oppo,R8201,R1x
R1x,OPPO,Oppo,R8206,R1x
A6020a40,Lenovo,Lenovo,Lenovo K5,A6020a40
wt88047,Xiaomi,,,
A1603,OPPO,Oppo,A1603,A1603
R50A,R50A,Elevate,R50A,R50A
shine_plus,TCL,TCT (Alcatel),Flash Plus 2,shine_plus
shine_plus,TCL,TCT (Alcatel),POP 4S,shine_plus
shine_plus,TCL,TCT (Alcatel),TCL 562,shine_plus
shine_plus,TCL,TCT (Alcatel),TCL-550,shine_plus
A16C3H,Smartfren,Smartfren,A16C3H,A16C3H
ferrari,Xiaomi,Xiaomi,Mi 4i,ferrari
j5y17ltedx,samsung,,,
XT1663,motorola,Lenovo,Motorola M,XT1663
CPH1609,OPPO,,,
R5,OPPO,Oppo,R5,R5
R5,OPPO,Oppo,R8106,R5
capricorn,Xiaomi,Xiaomi,Mi 5s,capricorn
hennessy,Xiaomi,Xiaomi,Redmi Note 3,hennessy
A7010a48,Lenovo,Lenovo,Lenovo VIBE X3 Lite,A7010a48
A6020a46,Lenovo,Lenovo,Lenovo K5 Plus,A6020a46
a5y17lte,samsung,,,
ASUS_T00F1,asus,Asus,ZenFone 5 (A500CG),ASUS_T00F1
ASUS_Z00U_1,asus,Asus,ZenFone Selfie (ZD551KL),ASUS_Z00U_1
kate,Xiaomi,Xiaomi,Redmi Note 3,kate
sagit,Xiaomi,,,
tissot_sprout,xiaomi,,,
markw,Xiaomi,Xiaomi,Redmi 4 Pro,markw
CPH1701,OPPO,,,
D6653,Sony,Sony,Xperia Z3,D6653
grandprimeve3g,samsung,Samsung,Galaxy Grand Prime,grandprimeve3g
Z00A_1,asus,Asus,ZenFone 2 (ZE551ML),Z00A_1
A51,OPPO,Oppo,A51,A51
A51,OPPO,Oppo,A51f,A51
A51,OPPO,Oppo,A51fa,A51
A51,OPPO,Oppo,A51w,A51
